2020/05/18 12:34:28 [error] 9#9: *4 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:29 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:29 [error] 9#9: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:30 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:30 [error] 9#9: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:30 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:30 [error] 9#9: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:31 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:31 [error] 9#9: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:31 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
